First Author,Last Author,Year,DOI,Journal,Species,Detection,Detection Notes,MUA Z-score Thresh. (STD),SWR Z-score Thresh. (STD),Animal Speed (cm/s),MUA smooth (ms),SWR smooth (ms),Min. Cells (#),SWR electrodes (#),SWR Low Band (Hz),SWR High Band (Hz),Min. Duration (ms),Max Duration (ms),Combine Events Thresh. (ms),Decoding,Time bin (ms),Position bin (cm),Place field smooth (cm),Trajectory,Decoding notes,Reconst. Error (cm),% Decoded,Spike sorting,Time bin step (ms),Shuffle Method,Shuffles (#),Sig. Thresh.,% Decoded denom.,Reconst. Error bin (ms)
Krause,Drugowitsch,2022,https://doi.org/10.1016/j.neuron.2021.11.014,Neuron,Rats,"SWR, MUA","MUA and SWR
>2 sp./s",3,3,5,20,12.5,#N/A,>1,150,250,50,2000,#N/A,State Space,3,4,4,Viterbi,,Not reported,89.7%,Sorted,3,none (Bayesian model comparison),#N/A,#N/A,SWRs,#N/A
Mou,Ji,2022,https://doi.org/10.1016/j.neuron.2021.12.005,Neuron,Rats,MUA,"Normalized MUA to 1 and used 0.35 as a threshold, extend to 0.15",#N/A,#N/A,#N/A,20,#N/A,4,#N/A,#N/A,#N/A,#N/A,#N/A,30,Bayes,20,2,4,Linear regression,Only used non-empty time bins,#N/A,#N/A,Sorted,10,Time-bin shuffle; cell-ID shuffle (for counts),1000,p<0.05,#N/A,#N/A
Berners-Lee,Foster,2021,https://doi.org/10.1523/JNEUROSCI.1158-20.2021,Journal of Neuroscience,Rats,SWR,SWR,#N/A,2,5,#N/A,12.5,#N/A,3,150,250,50,2000,#N/A,Bayes,20,2,6,MAP,"demarcate events based on:
length of subregion in time (>50 ms)
arm coverage (>50% of the arm)
 weighted correlation (abs. value > .3)",Not reported,Not reported,Sorted,5,"none (MAP, duration, coverage and weighted-correlation criteria)",#N/A,#N/A,#N/A,#N/A
Denovellis,Frank,2021,https://doi.org/10.7554/eLife.64505,eLife,Rats,SWR,SWR,#N/A,2,4,#N/A,4,#N/A,>1,150,250,15,#N/A,#N/A,State Space,2,3,6,MAP,,7,Not reported,Clusterless,2,none per event (posterior threshold),#N/A,posterior probability >0.80,#N/A,2
Gillespie,Frank,2021,https://doi.org/10.1016/j.neuron.2021.07.029,Neuron,Rats,SWR,MUA done as control,3,2,4,15,4,#N/A,>1,150,250,15,#N/A,#N/A,State Space,2,5,5,MAP,,5,Not reported,Clusterless,2,none,#N/A,#N/A,#N/A,2
Michon,Kloosterman,2021,https://doi.org/10.1016/j.cub.2021.07.058,Current Biology,Rats,"SWR, MUA","MUA/SWR detrended with median filter
extended to 0.5",4,8,5,15,15,#N/A,1-3,140,225,80,#N/A,20,Bayes,10,4,5,Weighted isotonic regression,,<30,Not reported,Clusterless,10,Pooled cross-event shuffle,500,p<0.05,#N/A,100
Igata,Sasaki,2021,https://doi.org/10.1073/pnas.2011266118,PNAS,Rats,"SWR, MUA","MUA and SWR
Mahalanobis distance used for overall ripple power
GMM used for ripple power",2,Adaptive,5,15,4,>4,>1,150,250,50,2000,#N/A,Bayes,20,2,5,MAP,"demarcate events based on:
MAP distance (<40 cm)
Trajectory length (>20 cm)",Not reported,Not reported,Sorted,10,Place-field shift,1000,p<0.05,#N/A,#N/A
Gridchyn,Csicsvari,2020,https://doi.org/10.1016/j.neuron.2020.01.021,Neuron,Rats,MUA,"MUA
threshold is 3.5x the baseline mean spike count, not a SD multiple
adaptively adjusted to ~1 event/s; 150 ms detection refractory",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Bayes,20,6,10,MAP,Real-time,Not reported,Not reported,Clusterless,20,none (adaptive decoding-confidence threshold),#N/A,#N/A,#N/A,#N/A
Kaefer,Csicsvari,2020,https://doi.org/10.1016/j.neuron.2020.01.015,Neuron,Rats,Decoding,"Decoded all immobility in 256 ms windows
detected non-local activity
excluding trajectories under 20 cm/s
windows were adjusted for number of spikes or cells",#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Bayes,25.6,10,10,"MAP, Radon transform","Adapative bin sizes
No jumps (> 60 cm)
Absolute speed (>20 cm/s)",Not reported,~45%,Sorted,25.6,Place-field rotation; cell-ID shuffle,200,95th percentile,#N/A,#N/A
Bhattarai,Jung,2020,https://doi.org/10.1073/pnas.1912533117,PNAS,Rats,SWR,"SWR
preceded by 60 ms of silence
extended to 1 STD",#N/A,3,4,#N/A,50,5,2,100,250,20,#N/A,100,Bayes,20,2,6,Weighted correlation,,6.56,52%,Sorted,#N/A,Permutation test (type not stated),#N/A,#N/A,candidate events,#N/A
Stella,Csicsvari,2019,https://doi.org/10.1016/j.neuron.2019.01.052,Neuron,Rats,SWR,SWR,#N/A,5,#N/A,#N/A,#N/A,#N/A,>1,150,250,40,#N/A,#N/A,Bayes,8,4,20,MAP,Adaptive time bin size (# spikes),~9 cm (Figure S2),Not reported,Sorted,8,Cell-ID reassignment; place-field rotation; spike jittering,#N/A,Decoding-confidence threshold 0.1,#N/A,#N/A
Xu,Csicsvari,2019,https://doi.org/10.1016/j.neuron.2018.11.015,Neuron,Rats,MUA,MUA,3,#N/A,#N/A,15,#N/A,4,#N/A,#N/A,#N/A,75,750,#N/A,Bayes,20,1,6,MAP,"Custom optimization procedure
Jump-constrained best path (<=20 bins per step)",Not reported,Not reported,Sorted,10,Place-field rotation,100,none (z-score vs shuffles),#N/A,#N/A
Farooq,Dragoi,2019,https://doi.org/10.1016/j.neuron.2019.05.040,Neuron,Rats,"SWR, MUA",MUA and SWR,2,Not reported,1,15,#N/A,5,Not reported,175,225,100,800,#N/A,Bayes,20,1,5,"Weighted correlation, Radon transform",,7.6,~10%,Sorted,20,Time-bin shuffle; rate-matched Poisson surrogate; weighted circular-shift space-bin shuffle,500,97.5th percentile,MUA frames,250
Farooq,Dragoi,2019,https://doi.org/10.1126/science.aav0502,Science,Rats,MUA,"MUA
theta/delta ratio",2,#N/A,2,15,#N/A,5,#N/A,#N/A,#N/A,100,800,#N/A,Bayes,20,1,5,Weighted correlation,,~5 cm,Not reported,Sorted,#N/A,Time-bin shuffle; rate-matched Poisson surrogate; circular space-bin shuffle (stationary frames),500,97.5th percentile,#N/A,#N/A
Chenani,Leibold,2019,https://doi.org/10.1038/s41467-019-09280-0,Nature Communications,Rats,MUA,"Place cell rate peak reached 3 SD, boundaries where it fell below 1 SD, and 5 or more active cells
Reward zones defined by visual judgment of the speed distribution",3,#N/A,#N/A,30,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Rank order correlation,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Cell-ID shuffle,100,95th percentile,#N/A,#N/A
Michon,Kloosterman,2019,https://doi.org/10.1016/j.cub.2019.03.048,Current Biology,Rats,"SWR, MUA",MUA burst overlapping a ripple event,4,8,5,15,15,#N/A,1-3,140,225,80,#N/A,20,Bayes,10,4,5,Weighted isotonic regression,Real-time,Not reported,3.2-15.5%,Clusterless,10,Pooled cross-event shuffle,500,alpha=0.01,SWR bursts,#N/A
Liu,Dragoi,2019,https://doi.org/10.1002/hipo.23034,Hippocampus,Rats,MUA,"MUA
preceded by 100 ms of silence
theta/delta ratio
SWR control",#N/A,#N/A,2,#N/A,#N/A,4,#N/A,#N/A,#N/A,80,1200,#N/A,Rank order correlation,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Cell-ID shuffle,1000,#N/A,#N/A,#N/A
Shin,Jadhav,2019,https://doi.org/10.1016/j.neuron.2019.09.012,Neuron,Rats,SWR,SWR,#N/A,3,4,#N/A,#N/A,5,1,150,250,50,#N/A,#N/A,Bayes,10,2,4,Linear regression,,3.81 cm,~40%,Sorted,10,Time-bin shuffle,1500,p<0.05,candidate events,500
Carey,van der Meer,2019,https://doi.org/10.1038/s41593-019-0464-6,Nature Neuroscience,Rats,"SWR, MUA","MUA and SWR
Adaptive thresholding of MUA",#N/A,#N/A,4,20,60,4,1,Not reported,Not reported,50,#N/A,#N/A,Bayes,25,3,3,MAP,,Not reported,Not reported,Sorted,5,Cell-ID shuffle,500,shuffle-sequence proportion <=0.05,#N/A,#N/A
Muessig,Wills,2019,https://doi.org/10.1016/j.cub.2019.01.005,Current Biology,Rats,"SWR, MUA","MUA and SWR
theta/delta ratio",3,4,2.5,10,#N/A,#N/A,1,100,250,100,750,#N/A,Bayes,20,2.5,5,Radon transform,,<10 cm median,Not reported,Sorted,10,Cell-ID shuffle; map shuffle,500,95th percentile,#N/A,300
Drieu,Zugaro,2018,https://doi.org/10.1126/science.aat2952,Science,Rats,MUA,"MUA
theta/delta ratio",3,#N/A,0.05,10,#N/A,3,#N/A,#N/A,#N/A,60,500,#N/A,Bayes,20,2.4,4.5,Radon transform,,Not reported,Not reported,Sorted,20,#N/A,#N/A,#N/A,#N/A,#N/A
Maboudi,Kemere,2018,https://doi.org/10.7554/eLife.34467,eLife,Rats,MUA,"PBEs from pooled multiunit activity
hidden Markov model over 20 ms bins; replay scored without place fields",#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Bayes,20,#N/A,#N/A,Radon transform,#N/A,#N/A,#N/A,Sorted,20,Temporal shuffle (per-neuron circular permutation); time-swap; Poisson surrogate,#N/A,#N/A,#N/A,#N/A
