condition,ripple_snr,n_channels,carrier_fraction,seed,detector,runtime_s,n_events,error,recall,precision,onset_ms,offset_ms,threshold_parameter,threshold_value
ripples,6.0,16,1.0,0,Yu_ripple_detector,0.17688283300958574,105,,1.0,0.38095238095238093,6.087578913554381,-8.58187357422091,,
ripples,6.0,16,1.0,0,Zugaro_ripple_detector,0.014054165978450328,39,,0.975,1.0,18.504829965252156,-19.19346476138628,,
ripples,6.0,16,1.0,0,Long_sharp_wave_ripple_detector,0.17332095804158598,41,,0.925,0.9024390243902439,13.907877145985736,-14.016338260972816,,
ripples,6.0,16,1.0,0,Carey_candidate_detector,0.20739458297612146,40,,1.0,1.0,-5.018805051573594,6.095544520206886,,
ripples,6.0,16,1.0,0,multiunit_HSE_detector,0.0766679160296917,53,,1.0,0.7547169811320755,-14.108686937149173,14.56260249278074,,
ripples,6.0,16,1.0,1,Kay_ripple_detector,0.07256604195572436,43,,1.0,0.9302325581395349,8.746709732836422,-8.422549969683502,,
ripples,6.0,16,1.0,1,Karlsson_ripple_detector,0.17330924997804686,43,,1.0,0.9302325581395349,-13.695829486577438,14.226665856917009,,
ripples,6.0,16,1.0,1,Roumis_ripple_detector,0.12739104201318696,43,,1.0,0.9302325581395349,8.323739213799364,-8.08921663634976,,
ripples,6.0,16,1.0,1,Shvartsman_ripple_detector,0.1788730419939384,40,,1.0,1.0,-13.695829486577438,14.226665856917009,,
ripples,6.0,16,1.0,1,Yu_ripple_detector,0.1722805420286022,138,,1.0,0.2971014492753623,8.97232711339413,-8.679277198293534,,
ripples,6.0,16,1.0,1,Zugaro_ripple_detector,0.011932291963603348,39,,0.975,1.0,23.566375464426415,-24.444285334297433,,
ripples,6.0,16,1.0,1,Long_sharp_wave_ripple_detector,0.15403466700809076,35,,0.875,1.0,21.682329828834668,-20.205826315660147,,
ripples,6.0,16,1.0,1,Carey_candidate_detector,0.21463416703045368,40,,1.0,1.0,-3.1506377659056284,3.1493772624884286,,
ripples,6.0,16,1.0,1,multiunit_HSE_detector,0.0741402090061456,47,,1.0,0.851063829787234,-16.08547309113817,14.73081631055706,,
ripples,6.0,16,1.0,2,Kay_ripple_detector,0.07866154104704037,42,,1.0,0.9523809523809523,10.538312973250363,-7.819305545591959,,
ripples,6.0,16,1.0,2,Karlsson_ripple_detector,0.18333575001452118,42,,1.0,0.9523809523809523,-9.84526602618363,15.768435082406995,,
ripples,6.0,16,1.0,2,Roumis_ripple_detector,0.1287165000103414,42,,1.0,0.9523809523809523,10.538312973250363,-8.325408134325585,,
ripples,6.0,16,1.0,2,Shvartsman_ripple_detector,0.17130195803474635,40,,1.0,1.0,-9.84526602618363,15.768435082406995,,
ripples,6.0,16,1.0,2,Yu_ripple_detector,0.18167658295715228,113,,1.0,0.35398230088495575,11.74072311571095,-7.894653588348177,,
ripples,6.0,16,1.0,2,Zugaro_ripple_detector,0.01229616702767089,40,,1.0,1.0,23.074056449043923,-21.597260947871177,,
ripples,6.0,16,1.0,2,Long_sharp_wave_ripple_detector,0.17513225000584498,43,,0.95,0.8837209302325582,17.106280744123126,-15.336939572739183,,
ripples,6.0,16,1.0,2,Carey_candidate_detector,0.20597650000127032,39,,0.975,1.0,-0.6282229493876912,1.9900061141839842,,
ripples,6.0,16,1.0,2,multiunit_HSE_detector,0.07305220799753442,44,,0.975,0.8863636363636364,-14.433810824868942,11.978661141498037,,
